"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"User should not able to register with Invalid Email Formate","0","ValidateSignupWithWithSpaceInEmail","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","ValidateSignupWithWithSpaceInEmail"
"User should Redirect to confirmation Page","20153","RegisterWithValidData","Surefire suite","2026-06-27","broken","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","RegisterWithValidData"
"","0","setupPages","Surefire suite","2026-06-27","broken","2026-06-27","demoPlaze.ProductsTest","Surefire test","demoPlaze.ProductsTest","setupPages"
"User should able to register with name contains Special characters","3","VerifySignupWithSpecialCharactersValuesInUsername","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","VerifySignupWithSpecialCharactersValuesInUsername"
"User should able to register with Email contains numbers","0","ValidateSignupWithSpacesOnInputInNameField","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","ValidateSignupWithSpacesOnInputInNameField"
"","46","ValidateAccountCreationWithoutLastName","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","ValidateAccountCreationWithoutLastName"
"User should not able to subscription without valid email","0","ValidateSubscriptionWithEmptyEmailField","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","ValidateSubscriptionWithEmptyEmailField"
"Verify Search Functionality Using TShirt Keyword","1","VerifySearchFunctionalityUsingTShirtKeyword","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.ProductsTest","Surefire test","demoPlaze.ProductsTest","VerifySearchFunctionalityUsingTShirtKeyword"
"Verify User Can Remove Product From Cart Successfully","0","VerifyUserCanRemoveProductFromCartSuccessfully","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.ProductsTest","Surefire test","demoPlaze.ProductsTest","VerifyUserCanRemoveProductFromCartSuccessfully"
"","47","VerifyAccountCreationWithoutAddress1","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","VerifyAccountCreationWithoutAddress1"
"","46","VerifyAccountCreationWithArabicCharactersInLastName","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","VerifyAccountCreationWithArabicCharactersInLastName"
"User should not able to register with registeredEmail","1","ValidateSignupusingAlreadyRegisteredEmailAddress","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","ValidateSignupusingAlreadyRegisteredEmailAddress"
