"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","107","VerifyAccountCreationWithArabicCharactersInFirstName","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","VerifyAccountCreationWithArabicCharactersInFirstName"
"","46","VerifyAccountCreationWithoutAddressLine2","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","VerifyAccountCreationWithoutAddressLine2"
"","46","VerifyMobilenumberFieldAcceptsSpecialCharacters","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","VerifyMobilenumberFieldAcceptsSpecialCharacters"
"User should able to register with name contains numbers","20133","VerifySignupWithNumericValuesInUsername","Surefire suite","2026-06-27","broken","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","VerifySignupWithNumericValuesInUsername"
"User should not able to subscription with invalid email format","20127","ValidateSubscriptionWithInvalidEmailFomat","Surefire suite","2026-06-27","broken","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","ValidateSubscriptionWithInvalidEmailFomat"
"","46","ValidateAccountCreationWithoutLastName","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","ValidateAccountCreationWithoutLastName"
"","46","VerifyAccountCreationWithSpecialCharactersInLastName","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","VerifyAccountCreationWithSpecialCharactersInLastName"
"User should Redirect to confirmation Page","20167","RegisterWithValidData","Surefire suite","2026-06-27","broken","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","RegisterWithValidData"
"User should not able to login with incorrect email","20113","ValidateLoginWithIncorrectEmailAddress","Surefire suite","2026-06-27","broken","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","ValidateLoginWithIncorrectEmailAddress"
"","67","VerifyUserCanLogoutAndLoginAgainSuccessfully","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.deleteAccountTest$deleteAccount","Surefire test","demoPlaze.deleteAccountTest$deleteAccount","VerifyUserCanLogoutAndLoginAgainSuccessfully"
"Verify User Can Add Product To Cart Successfully","20033","VerifyUserCanAddProductToCartSuccessfully","Surefire suite","2026-06-27","broken","2026-06-27","demoPlaze.ProductsTest","Surefire test","demoPlaze.ProductsTest","VerifyUserCanAddProductToCartSuccessfully"
"","46","VerifyAccountCreationWithoutAddress1","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","VerifyAccountCreationWithoutAddress1"
