"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"User should able to register with name contains Arabic characters","0","VerifySignupWithArabicCharactersValuesInUsername","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","VerifySignupWithArabicCharactersValuesInUsername"
"","28","VerifyAccountCreationWithSpecialCharactersInLastName","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","VerifyAccountCreationWithSpecialCharactersInLastName"
"","1","setupPages","Surefire suite","2026-06-27","broken","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","setupPages"
"","46","ValidateAccountCreationWithoutFirstName","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","ValidateAccountCreationWithoutFirstName"
"User should able to logout and login again successfully","24","VerifyUserCanLogoutAndLoginAgainSuccessfully","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.deleteAccountTest","Surefire test","demoPlaze.deleteAccountTest","VerifyUserCanLogoutAndLoginAgainSuccessfully"
"User should not able to subscription with invalid email format","0","ValidateSubscriptionWithInvalidEmailFomat","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","ValidateSubscriptionWithInvalidEmailFomat"
"User should not able to login with incorrect password","1","ValidateLoginWithIncorrectPassword","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","ValidateLoginWithIncorrectPassword"
"","50","VerifyAccountCreationWithoutState","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","VerifyAccountCreationWithoutState"
"","33","VerifyAccountCreationWithValidMandatorData","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","VerifyAccountCreationWithValidMandatorData"
"User should not able to register with Invalid Email Formate","0","ValidateSignupWithWithSpaceInEmail","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","ValidateSignupWithWithSpaceInEmail"
"Verify Search Functionality Using TShirt Keyword","0","VerifySearchFunctionalityUsingTShirtKeyword","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.ProductsTest","Surefire test","demoPlaze.ProductsTest","VerifySearchFunctionalityUsingTShirtKeyword"
"","0","setupPages","Surefire suite","2026-06-27","broken","2026-06-27","demoPlaze.ProductsTest","Surefire test","demoPlaze.ProductsTest","setupPages"
"User should Redirect to confirmation Page","20158","RegisterWithValidData","Surefire suite","2026-06-27","broken","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","RegisterWithValidData"
"","44","VerifyAccountCreationWithoutCity","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","VerifyAccountCreationWithoutCity"
"","1","setup","Surefire suite","2026-06-27","broken","2026-06-27","demoPlaze.deleteAccountTest","Surefire test","demoPlaze.deleteAccountTest","setup"
"","228","ValidateAccountCreationWithoutDateOfBirth","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","ValidateAccountCreationWithoutDateOfBirth"
"User should not able to register without Email","1","ValidateSignupWitheEmptyEmailField","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","ValidateSignupWitheEmptyEmailField"
"","39","VerifyAccountCreationWithoutAddressLine2","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","VerifyAccountCreationWithoutAddressLine2"
"Verify User Can Add Product To Cart Successfully","20052","VerifyUserCanAddProductToCartSuccessfully","Surefire suite","2026-06-27","broken","2026-06-27","demoPlaze.ProductsTest","Surefire test","demoPlaze.ProductsTest","VerifyUserCanAddProductToCartSuccessfully"
"User should not able to subscription without valid email","1","ValidateSubscriptionWithEmptyEmailField","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","ValidateSubscriptionWithEmptyEmailField"
"","34","VerifyAccountCreationWithoutMobileNumber","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","VerifyAccountCreationWithoutMobileNumber"
"User should able to delete account","110","VerifyUserCanDeleteAccountSuccessfully","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.deleteAccountTest","Surefire test","demoPlaze.deleteAccountTest","VerifyUserCanDeleteAccountSuccessfully"
"User should not able to login with incorrect email","0","ValidateLoginWithIncorrectEmailAddress","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","ValidateLoginWithIncorrectEmailAddress"
"Verify User Can Add Multiple Quantities Of The Same Product To Cart","0","VerifyUserCanAddMultipleQuantitiesOfTheSameProductToCart","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.ProductsTest","Surefire test","demoPlaze.ProductsTest","VerifyUserCanAddMultipleQuantitiesOfTheSameProductToCart"
"","1","setup","Surefire suite","2026-06-27","broken","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","setup"
"User should not able to register with registeredEmail","1","ValidateSignupusingAlreadyRegisteredEmailAddress","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","ValidateSignupusingAlreadyRegisteredEmailAddress"
"User should able to register with Email contains numbers","1","VerifySignupAcceptsEmailContainingNumericValues","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","VerifySignupAcceptsEmailContainingNumericValues"
"User should not able to register without name","1","ValidateSignupWitheEmptyNameField","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","ValidateSignupWitheEmptyNameField"
"User should able to subscription with valid email","0","VerifySuccessfulSubscriptionWithValidEmail","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","VerifySuccessfulSubscriptionWithValidEmail"
"User should able to register with name contains numbers","1","VerifySignupWithNumericValuesInUsername","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","VerifySignupWithNumericValuesInUsername"
"","47","VerifyAccountCreationWithoutCompanyName","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","VerifyAccountCreationWithoutCompanyName"
