"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","VerifyAccountCreationWithoutMobileNumber","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","VerifyAccountCreationWithoutMobileNumber"
"","0","VerifyAccountCreationWithArabicCharactersInLastName","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","VerifyAccountCreationWithArabicCharactersInLastName"
"User should not able to register without Email","1","ValidateSignupWitheEmptyEmailField","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","ValidateSignupWitheEmptyEmailField"
"User should able to logout and login again successfully","31","VerifyUserCanLogoutAndLoginAgainSuccessfully","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.deleteAccountTest","Surefire test","demoPlaze.deleteAccountTest","VerifyUserCanLogoutAndLoginAgainSuccessfully"
"","0","setupPages","Surefire suite","2026-06-27","broken","2026-06-27","demoPlaze.ProductsTest","Surefire test","demoPlaze.ProductsTest","setupPages"
"","10216","VerifyAccountCreationWithValidMandatorData","Surefire suite","2026-06-27","broken","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","VerifyAccountCreationWithValidMandatorData"
"User should able to register with name contains Special characters","0","VerifySignupWithSpecialCharactersValuesInUsername","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","VerifySignupWithSpecialCharactersValuesInUsername"
"","0","ValidateAccountCreationWithoutSelectingTitle","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","ValidateAccountCreationWithoutSelectingTitle"
"","0","VerifyMobileNumberFieldAcceptsAlphabeticCharacters","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","VerifyMobileNumberFieldAcceptsAlphabeticCharacters"
"User should not able to subscription with invalid email format","0","ValidateSubscriptionWithInvalidEmailFomat","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","ValidateSubscriptionWithInvalidEmailFomat"
"Verify User Can Add Multiple Quantities Of The Same Product To Cart","0","VerifyUserCanAddMultipleQuantitiesOfTheSameProductToCart","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.ProductsTest","Surefire test","demoPlaze.ProductsTest","VerifyUserCanAddMultipleQuantitiesOfTheSameProductToCart"
"User should able to register with Email contains numbers","0","ValidateSignupWithSpacesOnInputInNameField","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","ValidateSignupWithSpacesOnInputInNameField"
"","1","VerifyAccountCreationWithSpecialCharactersInFirstName","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","VerifyAccountCreationWithSpecialCharactersInFirstName"
"User should able to register with Email contains numbers","0","VerifySignupAcceptsEmailContainingNumericValues","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","VerifySignupAcceptsEmailContainingNumericValues"
"","1","VerifyAccountCreationWithoutCity","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","VerifyAccountCreationWithoutCity"
"","1","ValidateAccountCreationWithoutDateOfBirth","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","ValidateAccountCreationWithoutDateOfBirth"
"","1","ValidateAccountCreationWithoutFirstName","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","ValidateAccountCreationWithoutFirstName"
"Verify User Can Remove Product From Cart Successfully","0","VerifyUserCanRemoveProductFromCartSuccessfully","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.ProductsTest","Surefire test","demoPlaze.ProductsTest","VerifyUserCanRemoveProductFromCartSuccessfully"
