"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","setup","Surefire suite","2026-06-27","broken","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","setup"
"Verify User Can Add Product To Cart Successfully","2009","VerifyUserCanAddProductToCartSuccessfully","Surefire suite","2026-06-27","passed","2026-06-27","demoPlaze.ProductsTest","Surefire test","demoPlaze.ProductsTest","VerifyUserCanAddProductToCartSuccessfully"
"Verify User Can Add Multiple Quantities Of The Same Product To Cart","2072","VerifyUserCanAddMultipleQuantitiesOfTheSameProductToCart","Surefire suite","2026-06-27","passed","2026-06-27","demoPlaze.ProductsTest","Surefire test","demoPlaze.ProductsTest","VerifyUserCanAddMultipleQuantitiesOfTheSameProductToCart"
"","44","ValidateAccountCreationWithoutSelectingTitle","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","ValidateAccountCreationWithoutSelectingTitle"
"User should not able to register without name","1085","ValidateSignupWitheEmptyNameField","Surefire suite","2026-06-27","broken","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","ValidateSignupWitheEmptyNameField"
"","47","VerifyAccountCreationWithoutAddressLine2","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","VerifyAccountCreationWithoutAddressLine2"
"","1","setup","Surefire suite","2026-06-27","broken","2026-06-27","demoPlaze.deleteAccountTest","Surefire test","demoPlaze.deleteAccountTest","setup"
"User should able to register with name contains Special characters","1411","VerifySignupWithSpecialCharactersValuesInUsername","Surefire suite","2026-06-27","broken","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","VerifySignupWithSpecialCharactersValuesInUsername"
"","38","ValidateAccountCreationWithoutPassword","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","ValidateAccountCreationWithoutPassword"
"User should Redirect to confirmation Page","1467","RegisterWithValidData","Surefire suite","2026-06-27","broken","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","RegisterWithValidData"
"","54","VerifyAccountCreationWithValidMandatorData","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","VerifyAccountCreationWithValidMandatorData"
"","38","ValidateAccountCreationWithoutDateOfBirth","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","ValidateAccountCreationWithoutDateOfBirth"
"User should not able to register with Invalid Email Formate","1310","ValidateSignupWithInvalidEmaiLFormat","Surefire suite","2026-06-27","broken","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","ValidateSignupWithInvalidEmaiLFormat"
"Verify Search Functionality Using TShirt Keyword","2001","VerifySearchFunctionalityUsingTShirtKeyword","Surefire suite","2026-06-27","passed","2026-06-27","demoPlaze.ProductsTest","Surefire test","demoPlaze.ProductsTest","VerifySearchFunctionalityUsingTShirtKeyword"
"","46","VerifyAccountCreationWithSpecialCharactersInFirstName","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","VerifyAccountCreationWithSpecialCharactersInFirstName"
"User should able to register with Email contains numbers","1428","ValidateSignupWithSpacesOnInputInNameField","Surefire suite","2026-06-27","broken","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","ValidateSignupWithSpacesOnInputInNameField"
"User should not able to login with incorrect password","1366","ValidateLoginWithIncorrectPassword","Surefire suite","2026-06-27","passed","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","ValidateLoginWithIncorrectPassword"
"","46","VerifyAccountCreationWithoutMobileNumber","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","VerifyAccountCreationWithoutMobileNumber"
"Verify User Can Remove Product From Cart Successfully","20923","VerifyUserCanRemoveProductFromCartSuccessfully","Surefire suite","2026-06-27","broken","2026-06-27","demoPlaze.ProductsTest","Surefire test","demoPlaze.ProductsTest","VerifyUserCanRemoveProductFromCartSuccessfully"
"","45","VerifyAccountCreationWithArabicCharactersInFirstName","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","VerifyAccountCreationWithArabicCharactersInFirstName"
"","46","VerifyAccountCreationWithoutZipCode","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","VerifyAccountCreationWithoutZipCode"
"","46","ValidateAccountCreationWithoutFirstName","Surefire suite","2026-06-27","skipped","2026-06-27","demoPlaze.confirmationUserTest","Surefire test","demoPlaze.confirmationUserTest","ValidateAccountCreationWithoutFirstName"
"User should not able to register with Invalid Email Formate","1288","ValidateSignupWithWithSpaceInEmail","Surefire suite","2026-06-27","broken","2026-06-27","demoPlaze.RegisterTest","Surefire test","demoPlaze.RegisterTest","ValidateSignupWithWithSpaceInEmail"
